pueblo_magico,estado,pob_2010,pob_2015
Asientos,AGU,48358,50864
Calvillo,AGU,57627,60760
San José de Gracia,AGU,7160,9661
Tecate,BCN,89999,110870
La Paz,BCS,265717,293687
Loreto,BCS,18538,22045
Palizada,CAM,9605,9092
Arteaga,COA,22544,23271
Candela,COA,1736,1728
Cuatro Ciénegas,COA,11698,14168
Guerrero,COA,1946,1706
Múzquiz,COA,66834,69102
Parras,COA,43087,43759
Viesca,COA,21319,21549
Comala,COL,21138,23998
Comitán de Domínguez,CHP,149562,173188
Chiapa de Corzo,CHP,82617,125567
Palenque,CHP,121227,126000
San Cristóbal de las Casas,CHP,191228,206839
Batopilas,CHH,14998,6111
Bocoyna (Creel),CHH,30463,23479
Casas Grandes,CHH,10993,12605
Mapimí,DUR,28634,32198
Nombre de Dios,DUR,20870,17809
Comonfort,GUA,75326,74866
Dolores Hidalgo Cuna de la Independencia Nacional,GUA,144333,146574
Purísima del Rincón (Jalpa de Cánovas),GUA,71621,85203
Salvatierra,GUA,106631,89381
San Luis de la Paz (Mineral de pozos),GUA,119983,117722
Yuriria,GUA,79480,59330
Taxco de Alarcón,GRO,104733,108365
Huasca de Ocampo,HID,17182,17728
Huichapan,HID,46362,53554
Mineral del Chico,HID,7830,9125
Mineral del Monte,HID,13371,14960
Tecozautla,HID,35067,37674
Zimapán,HID,42913,41401
Lagos de Moreno,JAL,153817,164981
Mascota,JAL,14245,14477
Mazamitla,JAL,13225,13799
San Sebastián del Oeste,JAL,5755,5643
Talpa de Allende,JAL,14410,15126
Tapalpa,JAL,18096,19506
Tequila,JAL,40697,42009
Tlaquepaque,JAL,608114,664193
Aculco,MEX,54235,46275
Ixtapan de la Sal,MEX,45752,36091
Malinalco,MEX,33834,27218
Metepec,MEX,222067,219270
El Oro,MEX,33958,34581
San Martín de las Pirámides,MEX,25139,26033
Teotihuacán,MEX,54549,64682
Tepotzotlán,MEX,83066,97736
Valle de Bravo,MEX,78669,66258
Villa del Carbón,MEX,52703,46647
Angangueo,MIC,13013,10172
Cuitzeo,MIC,24732,26180
Jiquilpan,MIC,38482,33079
Pátzcuaro,MIC,91308,86166
Salvador Escalante (Santa Clara del Cobre),MIC,44388,48199
Tacámbaro,MIC,81447,81499
Tlalpujahua,MIC,34700,29458
Tzintzuntzan,MIC,14204,14875
Tepoztlán,MOR,41629,46946
Tlayacapan,MOR,16543,17714
Compostela,NAY,77256,81023
Jala,NAY,21129,19790
Bahía de Banderas (Sayulita),NAY,133159,153793
Bustamante,NLE,3756,3977
Linares,NLE,78745,78593
Santiago,NLE,38720,40649
Huautla de Jiménez,OAX,15171,14551
Capulálpam de Méndez,OAX,1467,1549
San Pablo Villa de Mitla,OAX,11825,12511
San Pedro y San Pablo Teposcolula,OAX,3989,4016
Santa María Tonameca (Mazunte),OAX,28540,35088
Atlixco,PUE,133079,134720
Cuetzalan del Progreso,PUE,43241,47446
Chignahuapan,PUE,66667,61172
Huauchinango,PUE,103645,98031
Pahuatlán,PUE,19475,19392
San Andrés Cholula,PUE,127496,156754
San Pedro Cholula,PUE,122895,123037
Tlatlauquitepec,PUE,56012,49118
Xicotepec,PUE,76053,84701
Zacatlán,PUE,91314,84716
Amealco de Bonfil,QUE,73391,60063
Cadereyta de Montes,QUE,79120,77942
Ezequiel Montes (Bernal),QUE,44719,40018
Jalpan de Serra,QUE,25500,26902
San Joaquín,QUE,9121,9480
Tequisquiapan,QUE,61307,69563
Isla Mujeres,ROO,16203,19495
Tulum,ROO,28263,32714
Bacalar,ROO,32000,39111
Aquismón,SLP,43274,52435
Catorce,SLP,9800,9863
Xilitla,SLP,56623,43652
Cosalá,SIN,16287,9551
El Fuerte,SIN,98976,99266
Mocorito,SIN,50532,36780
Rosario,SIN,50065,53439
Álamos,SON,27503,24054
Magdalena,SON,31598,32232
Tacotalpa (Tapijulapa),TAB,43760,44881
Mier,TAM,3856,4471
Tula,TAM,34865,26506
Huamantla,TLA,84979,92887
Tlaxco,TLA,37863,41848
Coatepec,VER,83420,87575
Coscomatepec,VER,48976,50195
Xico,VER,38825,34602
Orizaba,VER,120995,126005
Papantla,VER,171677,185272
Zozocolco de Hidalgo,VER,14691,12256
Izamal,YUC,25980,26801
Valladolid,YUC,74217,80313
Guadalupe,ZAC,155331,189495
Jerez,ZAC,57610,55114
Nochistlán de Mejía,ZAC,30114,26855
Pinos,ZAC,76639,76220
Sombrerete,ZAC,61188,62433
Teúl de González Ortega,ZAC,4666,5381
